country,AR(1),RW,lightgbm,xgboost,best_model,best_rmse
AU,0.19623722609851066,0.18771638763817797,0.2206217040265143,0.22765483832494232,RW,0.18771638763817797
CA,0.4928147362926225,0.5050530012101834,0.5567206893372681,0.6148536462609452,AR(1),0.4928147362926225
DE,0.059409681555617974,0.06390437882890226,0.18794545569531776,0.23084669032259578,AR(1),0.059409681555617974
FR,0.16054738528770116,0.15967899736331284,0.28339299269424617,0.2644551308461558,RW,0.15967899736331284
GB,0.11348943481036614,0.10853619079386324,0.208194384435523,0.2907060171440993,RW,0.10853619079386324
IT,0.3029088800969382,0.2767613749039838,0.4915021777009207,0.4623057077628518,RW,0.2767613749039838
JP,0.10574945874990169,0.10584983930868952,0.22366560071731884,0.25463775831047325,AR(1),0.10574945874990169
KR,0.19550565110458196,0.19280242443784243,0.2990172025315369,0.3856000449413636,RW,0.19280242443784243
US,0.8097313758539516,0.8112913886375764,0.8014786090099706,0.8125293952791681,lightgbm,0.8014786090099706
