model,pooled_rmse,n_observations,n_countries,average_country_rmse,median_country_rmse,pooled_rank,average_country_rank
RW,0.35195403298834643,1719,9,0.26795488701361464,0.18771638763817797,1,1
AR(1),0.35282736359876204,1719,9,0.2707104255389102,0.19550565110458196,2,2
lightgbm,0.41378628223573793,1719,9,0.3636154240165129,0.28339299269424617,3,3
xgboost,0.437805994456662,1719,9,0.39373213657695505,0.2907060171440993,4,4
