country,MAE,RMSE,N
DE,0.12964346186651507,0.18794545569531773,191
GB,0.14750670214807987,0.208194384435523,191
AU,0.15438819297654288,0.2206217040265143,191
JP,0.1655585366156253,0.22366560071731884,191
FR,0.19350583611762898,0.28339299269424617,191
KR,0.22227360311453637,0.2990172025315369,191
IT,0.3549530562626847,0.4915021777009207,191
CA,0.22779031001602731,0.5567206893372681,191
US,0.24006055625200373,0.8014786090099706,191
